,,,,,1976,,,,,,,,,1978,,,,,,,,,1980,,,,,,,,,1982,,,,,,,,,1984,,,,,,,,,1986,,,,,,,,,1988,,,,,,,,,1990,,,,,,,,,1992,,,,,,,,,1994,,,,,,,,,1996,,,,,,,,,1998,,,,,,,,,2000,,,,,,,,,2002,,,,,,,,,2003,,,,,,,,,2004,,,,,,,,,2005,,,,,,,,,2006,,,,,,,,,2007,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Governor,
,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Democrat,Replubican,Other
Alabama,35,0,,105,0,,1,,,34,0,,103,2,,1,,,35,0,,101,4,,1,,,35,0,,100,4,,1,,,32,3,,97,8,,1,,,28,4,3,87,12,5,1,,,30,5,,89,16,,,1,,28,6,,85,17,,,1,,28,7,,82,23,,,1,,27,8,,82,23,,1,,,23,12,,73,32,,,1,,22,13,,71,34,,,1,,23,12,,69,36,,1,,,24,11,,67,38,,1,,,25,10,,64,41,,,1,,25,10,,63,42,,,1,,25,10,,62,40,,,1,,25,10,,63,42,,,1,,23,12,,62,43,,,1,,23,12,,62,43,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,13,7,,30,9,,,1,,12,8,,25,15,,,1,,9,11,,25,14,1,,1,,11,9,,22,16,2,,1,,9,11,,19,21,,1,,,9,11,,21,18,1,1,,,8,12,,24,16,,1,,,8,12,,23,17,,1,,,10,10,,23,17,,,,1,10,10,,20,18,2,,,1,8,12,,17,22,1,1,,,6,14,,15,25,,1,,,5,15,,14,26,,1,,,6,14,,13,27,,1,,,8,12,,13,27,,,1,,8,12,,13,27,,,1,,8,12,,14,26,,,1,,8,12,,14,26,,,1,,9,11,,17,23,,,1,,9,11,,17,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,18,12,,27,33,,1,,,16,14,,22,38,,1,,,14,16,,18,42,,1,,,14,16,,17,43,,1,,,12,18,,21,39,,1,,,12,18,,22,38,,1,,,11,19,,24,36,,1,,,13,17,,26,34,,1,,,17,13,,27,33,,,1,,12,18,,25,35,,,1,,11,19,,22,38,,,1,,12,18,,22,38,,,1,,14,16,,22,38,,,1,,15,15,,24,36,,,1,,13,17,,21,39,,1,,,13,17,,21,39,,1,,,12,18,,22,38,,1,,,12,18,,21,39,,1,,,13,17,,27,33,,1,,,13,17,,27,33,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,34,1,,98,2,,1,,,34,1,,95,5,,1,,,35,0,,94,6,,1,,,34,1,,93,7,,,1,,32,3,,93,7,,,1,,31,4,,91,9,,1,,,31,4,,91,9,,1,,,31,4,,88,11,1,1,,,31,4,,90,9,,1,,,30,5,,88,11,2,1,,,28,7,,87,12,,1,,,28,7,,86,14,,,1,,29,6,,74,23,,,1,,27,8,,70,30,,,1,,27,8,,72,28,,,1,,27,8,,70,30,,,1,,27,8,,72,28,,,1,,27,8,,72,28,,,1,,27,8,,75,25,,1,,,27,8,,75,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,25,15,,55,25,,1,,,26,14,,57,23,,1,,,25,14,,50,30,,1,,,23,17,,48,32,,1,,,25,14,1,48,32,,1,,,25,15,,47,33,,,1,,23,15,1,44,36,,,1,,24,15,1,46,33,,,1,,25,13,2,47,33,,,1,,22,16,2,47,33,,,1,,21,17,2,39,41,,,1,,23,16,1,42,37,,,1,,24,15,,47,32,1,1,,,26,14,,50,30,,1,,,25,15,,48,32,,1,,,25,15,,48,32,,,1,,25,15,,48,32,,,1,,25,15,,48,32,,,1,,25,15,,48,32,,,1,,25,15,,47,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,16,19,,39,26,,1,,,17,18,,30,35,,1,,,13,22,,27,38,,1,,,13,22,,26,39,,1,,,14,21,,25,40,,1,,,11,24,,18,47,,1,,,10,25,,25,40,,1,,,11,24,,26,39,,1,,,12,23,,27,38,,1,,,16,19,,31,34,,1,,,16,19,,24,41,,1,,,15,20,,24,41,,1,,,15,20,,25,40,,,1,,18,17,,28,37,,,1,,17,18,,28,37,,,1,,17,18,,28,37,,,1,,18,17,,35,30,,,1,,18,17,,35,30,,,1,,20,15,,39,26,,1,,,20,15,,40,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,29,7,,118,33,,1,,,22,14,,91,60,,1,,,26,10,,103,48,,1,,,22,13,,83,68,,1,,,23,13,,87,64,,1,,,12,24,,66,85,,1,,,25,11,,92,59,,1,,,23,13,,88,63,,1,,,20,16,,87,64,,,,1,19,17,,86,65,,,,1,19,17,,91,60,,,1,,19,17,,96,55,,,1,,19,17,,96,55,,,1,,21,15,,100,51,,,1,,21,15,,94,57,,,1,,21,15,,95,56,,,1,,24,12,,99,52,,,1,,24,12,,99,52,,,1,,24,12,,107,44,,,1,,24,12,,107,44,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
